CustomerID,FullName,Gender,Age,City,State,Membership,JoinDate,PreferredCategory,PreferredFabric,PreferredPriceRange,LoyaltyPoints,CustomerTenureDays
C00048,Revathi Murugan,Female,32,Tiruppur,Tamil Nadu,Bronze,2024-12-04,Women,Cotton,Premium,757,593
C00049,Nithya Prasad,Female,21,Salem,Tamil Nadu,Silver,2025-04-29,Women,Polyester,Budget,1954,447
C00050,Priya Babu,Female,21,Karur,Tamil Nadu,Gold,2025-03-01,Women,Polyester,Budget,4944,506
C00051,Saravanan Nathan,Male,57,Salem,Tamil Nadu,Platinum,2023-12-04,Home & Lifestyle,Polyester,Standard,14498,959
C00052,Dinesh Devi,Male,30,Hosur,Tamil Nadu,Silver,2025-03-26,Men,Linen,Budget,2271,481
C00053,Lakshmi Shankar,Female,52,Thanjavur,Tamil Nadu,Gold,2025-11-14,Accessories,Silk,Standard,4773,248
C00054,Hari Murugan,Male,56,Karur,Tamil Nadu,Silver,2024-02-26,Men,Cotton,Budget,1257,875
C00055,Gokul Kumar,Male,24,Vellore,Tamil Nadu,Gold,2025-08-28,Men,Linen,Budget,5568,326
C00056,Rahul Kumar,Male,56,Kanchipuram,Tamil Nadu,Gold,2025-11-09,Men,Cotton,Premium,6979,253
C00057,Priya Reddy,Female,27,Villupuram,Tamil Nadu,Silver,2024-09-30,Kids,Linen,Budget,2007,658
C00058,Ramesh Krishnan,Male,45,Kanchipuram,Tamil Nadu,Silver,2023-11-20,Accessories,Silk,Budget,1341,973
C00059,Karthik Raj,Male,57,Hosur,Tamil Nadu,Bronze,2025-06-03,Men,Linen,Standard,494,412
C00060,Saravanan Kumar,Male,33,Thanjavur,Tamil Nadu,Bronze,2025-01-04,Men,Handloom,Standard,290,562
C00061,Aishwarya Shankar,Female,52,Villupuram,Tamil Nadu,Bronze,2023-06-19,Women,Polyester,Budget,833,1127
C00062,Manoj Babu,Male,46,Hosur,Tamil Nadu,Silver,2025-10-26,Accessories,Polyester,Budget,1565,267
C00063,Karthik Devi,Male,58,Hosur,Tamil Nadu,Platinum,2023-03-17,Men,Polyester,Standard,9646,1221
C00064,Kavya Raman,Female,33,Coimbatore,Tamil Nadu,Gold,2025-06-04,Women,Handloom,Premium,6117,411
C00065,Gokul Iyer,Male,49,Thanjavur,Tamil Nadu,Silver,2024-04-07,Men,Cotton,Premium,1550,834
C00066,Ajith Murugan,Male,31,Kanchipuram,Tamil Nadu,Bronze,2023-05-18,Men,Handloom,Budget,320,1159
C00067,Sowmya Murugan,Female,52,Villupuram,Tamil Nadu,Bronze,2024-04-29,Women,Linen,Premium,779,812
C00068,Saravanan Krishnan,Male,43,Villupuram,Tamil Nadu,Silver,2025-09-10,Men,Silk,Premium,2272,313
C00069,Ajith Vel,Male,61,Tiruppur,Tamil Nadu,Silver,2025-09-19,Accessories,Cotton,Budget,1828,304
C00070,Pavithra Devi,Female,20,Kanchipuram,Tamil Nadu,Silver,2024-05-03,Women,Linen,Standard,1122,808
C00071,Suresh Babu,Male,50,Madurai,Tamil Nadu,Bronze,2024-10-18,Men,Silk,Premium,484,640
C00072,Hari Shankar,Male,40,Hosur,Tamil Nadu,Gold,2023-12-26,Accessories,Handloom,Budget,6507,937
C00073,Manoj Raman,Male,60,Erode,Tamil Nadu,Bronze,2023-12-07,Men,Silk,Budget,488,956
C00074,Hari Mohan,Male,19,Coimbatore,Tamil Nadu,Silver,2024-11-09,Men,Handloom,Standard,1089,618
C00075,Arun Reddy,Male,48,Hosur,Tamil Nadu,Bronze,2024-05-13,Men,Silk,Budget,950,798
C00076,Priya Reddy,Female,61,Salem,Tamil Nadu,Bronze,2023-12-28,Kids,Linen,Standard,763,935
C00077,Meena Kumar,Female,46,Coimbatore,Tamil Nadu,Platinum,2023-04-25,Women,Cotton,Standard,14693,1182
C00078,Swathi Nathan,Female,34,Tirunelveli,Tamil Nadu,Gold,2025-03-06,Accessories,Cotton,Standard,6998,501
C00079,Keerthana Selvi,Female,39,Kanchipuram,Tamil Nadu,Bronze,2024-03-08,Kids,Silk,Standard,120,864
C00080,Naveen Raj,Male,27,Trichy,Tamil Nadu,Gold,2024-09-22,Men,Handloom,Budget,3428,666
C00081,Manoj Prasad,Male,26,Chennai,Tamil Nadu,Bronze,2025-07-25,Men,Silk,Standard,674,360
C00082,Anitha Mohan,Female,40,Karur,Tamil Nadu,Bronze,2024-07-31,Accessories,Linen,Premium,820,719
C00083,Praveen Devi,Male,38,Hosur,Tamil Nadu,Bronze,2023-08-25,Men,Cotton,Standard,680,1060
C00084,Kavya Reddy,Female,22,Coimbatore,Tamil Nadu,Silver,2023-10-22,Women,Linen,Budget,1519,1002
C00085,Suresh Raj,Male,59,Hosur,Tamil Nadu,Gold,2024-08-27,Men,Cotton,Luxury,5621,692
C00086,Manoj Iyer,Male,50,Kanchipuram,Tamil Nadu,Bronze,2024-02-08,Home & Lifestyle,Cotton,Premium,700,893
C00087,Revathi Murugan,Female,38,Tirunelveli,Tamil Nadu,Gold,2025-05-20,Women,Linen,Premium,3238,426
C00088,Ajith Krishnan,Male,27,Tiruppur,Tamil Nadu,Bronze,2023-02-02,Men,Cotton,Budget,273,1264
C00089,Lakshmi Shankar,Female,54,Kallakurichi,Tamil Nadu,Gold,2024-11-01,Women,Linen,Standard,3481,626
C00090,Lakshmi Raman,Female,43,Villupuram,Tamil Nadu,Silver,2023-07-12,Kids,Silk,Standard,1365,1104
C00091,Gokul Babu,Male,29,Thanjavur,Tamil Nadu,Silver,2024-04-06,Men,Cotton,Standard,2353,835
C00092,Praveen Murugan,Male,18,Coimbatore,Tamil Nadu,Silver,2024-05-31,Men,Handloom,Budget,2331,780
C00093,Pavithra Raj,Female,64,Hosur,Tamil Nadu,Silver,2025-01-29,Accessories,Linen,Budget,1492,537
C00094,Praveen Reddy,Male,64,Karur,Tamil Nadu,Platinum,2023-07-28,Men,Cotton,Premium,10819,1088
C00095,Harini Reddy,Female,18,Vellore,Tamil Nadu,Bronze,2024-04-05,Accessories,Handloom,Luxury,203,836
C00096,Anitha Murugan,Female,63,Kallakurichi,Tamil Nadu,Silver,2025-08-09,Accessories,Handloom,Budget,1383,345
C00097,Divya Reddy,Female,33,Coimbatore,Tamil Nadu,Bronze,2024-08-16,Women,Silk,Premium,927,703
C00098,Swathi Kumar,Female,27,Madurai,Tamil Nadu,Bronze,2024-12-18,Women,Linen,Standard,180,579
C00099,Revathi Prasad,Female,49,Coimbatore,Tamil Nadu,Silver,2025-06-01,Women,Polyester,Standard,1791,414
C00100,Kavya Nathan,Female,28,Kanchipuram,Tamil Nadu,Bronze,2023-03-13,Women,Linen,Standard,688,1225
C00101,Ramesh Murugan,Male,62,Erode,Tamil Nadu,Bronze,2025-09-23,Men,Polyester,Budget,339,300
C00102,Arun Prasad,Male,25,Tiruppur,Tamil Nadu,Gold,2025-02-28,Men,Handloom,Standard,6740,507
C00103,Manoj Raman,Male,35,Karur,Tamil Nadu,Bronze,2023-04-01,Men,Polyester,Premium,954,1206
C00104,Nithya Mohan,Female,43,Kanchipuram,Tamil Nadu,Silver,2023-07-08,Women,Polyester,Standard,1847,1108
C00105,Hari Reddy,Male,49,Kallakurichi,Tamil Nadu,Bronze,2023-03-25,Men,Linen,Standard,639,1213
C00106,Nithya Babu,Female,53,Madurai,Tamil Nadu,Silver,2023-10-29,Women,Linen,Budget,1116,995
C00107,Lakshmi Reddy,Female,48,Coimbatore,Tamil Nadu,Silver,2024-08-27,Women,Linen,Budget,2232,692
C00108,Dinesh Shankar,Male,54,Kanchipuram,Tamil Nadu,Bronze,2023-08-19,Men,Cotton,Budget,510,1066
C00109,Kishore Mohan,Male,28,Trichy,Tamil Nadu,Silver,2024-09-14,Men,Polyester,Standard,2498,674
C00110,Anitha Shankar,Female,26,Hosur,Tamil Nadu,Silver,2023-08-13,Home & Lifestyle,Polyester,Budget,2347,1072
C00111,Ramesh Vel,Male,37,Madurai,Tamil Nadu,Bronze,2024-04-18,Accessories,Handloom,Luxury,654,823
C00112,Meena Shankar,Female,22,Erode,Tamil Nadu,Bronze,2024-11-20,Women,Linen,Premium,619,607
C00113,Naveen Shankar,Male,41,Chennai,Tamil Nadu,Bronze,2025-04-24,Men,Polyester,Standard,946,452
C00114,Nithya Babu,Female,53,Coimbatore,Tamil Nadu,Bronze,2023-09-28,Home & Lifestyle,Cotton,Budget,788,1026
C00115,Keerthana Shankar,Female,28,Erode,Tamil Nadu,Gold,2025-05-26,Women,Linen,Budget,3380,420
C00116,Meena Vel,Female,35,Trichy,Tamil Nadu,Silver,2024-08-04,Women,Polyester,Standard,1169,715
C00117,Deepika Kumar,Female,19,Villupuram,Tamil Nadu,Bronze,2023-05-10,Home & Lifestyle,Cotton,Budget,469,1167
C00118,Sowmya Raj,Female,43,Villupuram,Tamil Nadu,Silver,2023-10-14,Women,Linen,Premium,1468,1010
C00119,Priya Kumar,Female,32,Kanchipuram,Tamil Nadu,Bronze,2023-04-11,Kids,Polyester,Luxury,654,1196
C00120,Gokul Prasad,Male,26,Erode,Tamil Nadu,Silver,2025-06-18,Men,Linen,Premium,1570,397
C00121,Ramesh Raman,Male,20,Tirunelveli,Tamil Nadu,Silver,2023-01-20,Men,Cotton,Budget,2878,1277
C00122,Kishore Raman,Male,22,Erode,Tamil Nadu,Platinum,2023-12-26,Accessories,Linen,Standard,10706,937
C00123,Arun Babu,Male,60,Trichy,Tamil Nadu,Silver,2024-08-07,Men,Polyester,Budget,1241,712
C00124,Anitha Mohan,Female,22,Karur,Tamil Nadu,Bronze,2025-07-22,Women,Handloom,Luxury,853,363
C00125,Praveen Krishnan,Male,44,Villupuram,Tamil Nadu,Bronze,2023-01-22,Men,Cotton,Standard,557,1275
C00126,Sowmya Krishnan,Female,39,Villupuram,Tamil Nadu,Gold,2024-07-14,Kids,Linen,Standard,6640,736
C00127,Aishwarya Raman,Female,25,Chennai,Tamil Nadu,Gold,2024-05-23,Women,Polyester,Premium,6763,788
C00128,Lakshmi Mohan,Female,46,Karur,Tamil Nadu,Silver,2025-08-23,Kids,Linen,Budget,1622,331
C00129,Keerthana Prasad,Female,21,Trichy,Tamil Nadu,Silver,2023-05-31,Women,Linen,Standard,2340,1146
C00130,Swathi Iyer,Female,22,Thanjavur,Tamil Nadu,Bronze,2023-09-27,Women,Polyester,Premium,131,1027
C00131,Lakshmi Vel,Female,26,Madurai,Tamil Nadu,Bronze,2024-08-05,Women,Linen,Standard,857,714
C00132,Gokul Devi,Male,23,Trichy,Tamil Nadu,Bronze,2023-06-19,Accessories,Cotton,Budget,3,1127
C00133,Kavya Murugan,Female,48,Thanjavur,Tamil Nadu,Gold,2025-09-15,Kids,Polyester,Standard,4102,308
C00134,Manoj Vel,Male,61,Kallakurichi,Tamil Nadu,Gold,2024-03-19,Men,Linen,Premium,6229,853
C00135,Sowmya Reddy,Female,65,Trichy,Tamil Nadu,Gold,2023-03-07,Women,Polyester,Budget,6117,1231
C00136,Keerthana Raman,Female,33,Villupuram,Tamil Nadu,Bronze,2025-07-14,Women,Cotton,Budget,446,371
C00137,Meena Shankar,Female,25,Kallakurichi,Tamil Nadu,Bronze,2024-12-11,Kids,Polyester,Standard,564,586
C00138,Vijay Mohan,Male,60,Kanchipuram,Tamil Nadu,Bronze,2024-09-29,Men,Silk,Budget,64,659
C00139,Saravanan Prasad,Male,41,Chennai,Tamil Nadu,Gold,2024-06-29,Accessories,Linen,Budget,5863,751
C00140,Revathi Raj,Female,26,Erode,Tamil Nadu,Silver,2024-08-14,Women,Polyester,Budget,1228,705
C00141,Meena Shankar,Female,43,Madurai,Tamil Nadu,Bronze,2025-03-14,Kids,Cotton,Standard,834,493
C00142,Ramesh Devi,Male,30,Tirunelveli,Tamil Nadu,Silver,2024-07-28,Men,Silk,Premium,1166,722
C00143,Keerthana Prasad,Female,54,Kallakurichi,Tamil Nadu,Bronze,2025-04-21,Women,Cotton,Budget,793,455
C00144,Naveen Krishnan,Male,37,Hosur,Tamil Nadu,Silver,2023-05-23,Men,Silk,Premium,1006,1154
C00145,Revathi Reddy,Female,19,Karur,Tamil Nadu,Gold,2023-04-20,Accessories,Polyester,Budget,6691,1187
C00146,Revathi Reddy,Female,49,Erode,Tamil Nadu,Gold,2023-07-06,Kids,Linen,Standard,3300,1110
C00147,Manoj Reddy,Male,22,Tirunelveli,Tamil Nadu,Bronze,2024-10-02,Men,Silk,Budget,279,656
C00148,Suresh Krishnan,Male,25,Salem,Tamil Nadu,Gold,2023-04-04,Accessories,Silk,Standard,6647,1203
C00149,Manoj Kumar,Male,18,Kanchipuram,Tamil Nadu,Silver,2025-10-12,Men,Cotton,Budget,2463,281
C00150,Ramesh Shankar,Male,52,Hosur,Tamil Nadu,Silver,2024-06-16,Accessories,Polyester,Budget,2615,764
C00151,Pavithra Iyer,Female,52,Trichy,Tamil Nadu,Bronze,2024-11-29,Kids,Silk,Standard,495,598
C00152,Manoj Nathan,Male,25,Villupuram,Tamil Nadu,Silver,2024-02-09,Men,Polyester,Luxury,1107,892
C00153,Anitha Krishnan,Female,60,Kanchipuram,Tamil Nadu,Bronze,2023-11-30,Women,Cotton,Budget,281,963
C00154,Kavya Raman,Female,28,Salem,Tamil Nadu,Bronze,2025-07-20,Accessories,Polyester,Standard,649,365
C00155,Deepika Mohan,Female,55,Tiruppur,Tamil Nadu,Bronze,2025-03-29,Accessories,Cotton,Standard,891,478
C00156,Sowmya Krishnan,Female,31,Villupuram,Tamil Nadu,Silver,2025-06-15,Women,Polyester,Standard,2730,400
C00157,Saravanan Iyer,Male,43,Kanchipuram,Tamil Nadu,Silver,2023-01-03,Men,Cotton,Budget,2422,1294
C00158,Sowmya Selvi,Female,56,Thanjavur,Tamil Nadu,Bronze,2024-06-26,Home & Lifestyle,Silk,Standard,220,754
C00159,Suresh Vel,Male,47,Hosur,Tamil Nadu,Silver,2023-09-11,Men,Cotton,Luxury,1208,1043
C00160,Manoj Selvi,Male,54,Trichy,Tamil Nadu,Gold,2023-04-11,Men,Polyester,Standard,4429,1196
C00161,Naveen Raj,Male,58,Thanjavur,Tamil Nadu,Bronze,2023-09-03,Men,Silk,Luxury,36,1051
C00162,Keerthana Raman,Female,55,Villupuram,Tamil Nadu,Silver,2024-12-16,Women,Silk,Budget,2269,581
C00163,Kavya Vel,Female,40,Hosur,Tamil Nadu,Bronze,2024-01-12,Women,Handloom,Standard,251,920
C00164,Ajith Prasad,Male,28,Tiruppur,Tamil Nadu,Silver,2023-09-25,Home & Lifestyle,Handloom,Premium,2749,1029
C00165,Pavithra Krishnan,Female,59,Chennai,Tamil Nadu,Silver,2023-11-04,Women,Cotton,Standard,1188,989
C00166,Gokul Iyer,Male,54,Tiruppur,Tamil Nadu,Bronze,2024-07-01,Men,Linen,Luxury,831,749
C00167,Manoj Devi,Male,52,Hosur,Tamil Nadu,Bronze,2024-11-21,Men,Linen,Budget,922,606
C00168,Deepika Selvi,Female,44,Tiruppur,Tamil Nadu,Bronze,2025-02-14,Kids,Handloom,Premium,949,521
C00169,Praveen Murugan,Male,47,Villupuram,Tamil Nadu,Gold,2025-08-18,Accessories,Linen,Standard,4996,336
C00170,Saravanan Iyer,Male,25,Erode,Tamil Nadu,Gold,2023-08-11,Men,Silk,Standard,6346,1074
C00171,Sowmya Vel,Female,19,Hosur,Tamil Nadu,Gold,2023-02-13,Accessories,Cotton,Premium,5750,1253
C00172,Pavithra Selvi,Female,44,Coimbatore,Tamil Nadu,Silver,2025-08-27,Kids,Polyester,Budget,2630,327
C00173,Suresh Babu,Male,53,Erode,Tamil Nadu,Bronze,2024-06-21,Men,Handloom,Premium,711,759
C00174,Vijay Vel,Male,44,Erode,Tamil Nadu,Bronze,2025-10-03,Home & Lifestyle,Handloom,Budget,810,290
C00175,Revathi Vel,Female,59,Kanchipuram,Tamil Nadu,Bronze,2025-07-31,Home & Lifestyle,Cotton,Standard,204,354
C00176,Divya Reddy,Female,63,Kanchipuram,Tamil Nadu,Gold,2023-06-20,Accessories,Silk,Standard,3620,1126
C00177,Gokul Iyer,Male,30,Kanchipuram,Tamil Nadu,Bronze,2023-12-30,Men,Polyester,Budget,233,933
C00178,Manoj Iyer,Male,31,Tirunelveli,Tamil Nadu,Bronze,2023-10-28,Home & Lifestyle,Linen,Budget,915,996
C00179,Praveen Murugan,Male,50,Trichy,Tamil Nadu,Bronze,2024-07-06,Accessories,Handloom,Budget,420,744
C00180,Deepika Murugan,Female,63,Kallakurichi,Tamil Nadu,Silver,2024-11-18,Accessories,Linen,Standard,1178,609
C00181,Sowmya Raj,Female,39,Hosur,Tamil Nadu,Silver,2024-09-17,Accessories,Polyester,Standard,2177,671
C00182,Revathi Nathan,Female,42,Chennai,Tamil Nadu,Silver,2025-04-30,Home & Lifestyle,Cotton,Budget,1515,446
C00183,Rahul Shankar,Male,22,Coimbatore,Tamil Nadu,Bronze,2023-05-12,Men,Polyester,Budget,700,1165
C00184,Saravanan Mohan,Male,21,Madurai,Tamil Nadu,Gold,2024-07-10,Men,Polyester,Standard,3480,740
C00185,Vijay Iyer,Male,42,Tirunelveli,Tamil Nadu,Bronze,2025-09-11,Accessories,Polyester,Budget,917,312
C00186,Aishwarya Vel,Female,59,Coimbatore,Tamil Nadu,Silver,2023-12-19,Women,Linen,Budget,1983,944
C00187,Kavya Raman,Female,26,Thanjavur,Tamil Nadu,Bronze,2025-12-22,Women,Cotton,Budget,954,210
C00188,Lakshmi Selvi,Female,58,Tiruppur,Tamil Nadu,Silver,2025-03-09,Home & Lifestyle,Polyester,Budget,1911,498
C00189,Manoj Mohan,Male,42,Erode,Tamil Nadu,Gold,2024-01-17,Men,Polyester,Standard,3553,915
C00190,Priya Selvi,Female,52,Tiruppur,Tamil Nadu,Bronze,2024-03-08,Women,Handloom,Standard,519,864
C00191,Keerthana Mohan,Female,64,Kanchipuram,Tamil Nadu,Silver,2023-06-26,Women,Silk,Standard,1122,1120
C00192,Ajith Murugan,Male,27,Erode,Tamil Nadu,Bronze,2024-06-12,Men,Cotton,Premium,228,768
C00193,Ramesh Iyer,Male,23,Kanchipuram,Tamil Nadu,Bronze,2024-07-31,Men,Silk,Standard,438,719
C00194,Kavya Nathan,Female,58,Trichy,Tamil Nadu,Silver,2025-08-10,Women,Handloom,Standard,1025,344
C00195,Hari Raj,Male,35,Madurai,Tamil Nadu,Platinum,2024-11-29,Men,Cotton,Premium,11284,598
C00196,Lakshmi Vel,Female,28,Salem,Tamil Nadu,Bronze,2025-01-12,Women,Cotton,Budget,281,554
C00197,Aishwarya Kumar,Female,27,Hosur,Tamil Nadu,Bronze,2023-11-02,Women,Handloom,Budget,787,991
C00198,Manoj Selvi,Male,34,Kallakurichi,Tamil Nadu,Bronze,2025-09-14,Men,Polyester,Premium,985,309
C00199,Pavithra Kumar,Female,33,Kallakurichi,Tamil Nadu,Bronze,2023-10-22,Women,Handloom,Standard,188,1002
C00200,Naveen Reddy,Male,59,Coimbatore,Tamil Nadu,Bronze,2025-01-22,Men,Cotton,Budget,779,544
C00201,Nithya Selvi,Female,29,Thanjavur,Tamil Nadu,Bronze,2024-09-25,Home & Lifestyle,Handloom,Budget,772,663
C00202,Harini Raj,Female,23,Erode,Tamil Nadu,Bronze,2023-10-12,Women,Polyester,Standard,532,1012
C00203,Vijay Babu,Male,33,Karur,Tamil Nadu,Bronze,2023-10-12,Home & Lifestyle,Handloom,Budget,342,1012
C00204,Anitha Raj,Female,54,Tirunelveli,Tamil Nadu,Bronze,2025-08-09,Home & Lifestyle,Cotton,Standard,906,345
C00205,Pavithra Mohan,Female,64,Kanchipuram,Tamil Nadu,Bronze,2023-10-27,Accessories,Silk,Premium,80,997
C00206,Anitha Murugan,Female,45,Karur,Tamil Nadu,Bronze,2024-06-07,Women,Cotton,Premium,731,773
C00207,Ajith Shankar,Male,22,Trichy,Tamil Nadu,Gold,2023-09-11,Men,Linen,Standard,5204,1043
C00208,Gokul Kumar,Male,23,Villupuram,Tamil Nadu,Bronze,2024-12-11,Home & Lifestyle,Handloom,Premium,739,586
C00209,Divya Babu,Female,23,Kanchipuram,Tamil Nadu,Platinum,2024-10-23,Home & Lifestyle,Polyester,Premium,8721,635
C00210,Manoj Prasad,Male,62,Tirunelveli,Tamil Nadu,Silver,2023-04-25,Men,Silk,Standard,2119,1182
C00211,Hari Selvi,Male,32,Tirunelveli,Tamil Nadu,Bronze,2025-07-10,Men,Handloom,Premium,751,375
C00212,Saravanan Devi,Male,58,Coimbatore,Tamil Nadu,Bronze,2023-03-27,Accessories,Silk,Luxury,145,1211
C00213,Nithya Krishnan,Female,56,Coimbatore,Tamil Nadu,Bronze,2023-04-30,Kids,Linen,Budget,877,1177
C00214,Manoj Mohan,Male,63,Villupuram,Tamil Nadu,Bronze,2023-07-16,Men,Linen,Budget,798,1100
C00215,Harini Iyer,Female,45,Karur,Tamil Nadu,Bronze,2025-05-12,Women,Handloom,Standard,165,434
C00216,Revathi Krishnan,Female,46,Kallakurichi,Tamil Nadu,Bronze,2024-09-10,Kids,Cotton,Standard,51,678
C00217,Priya Selvi,Female,23,Coimbatore,Tamil Nadu,Gold,2023-12-20,Women,Linen,Budget,4673,943
C00218,Sowmya Krishnan,Female,23,Vellore,Tamil Nadu,Bronze,2025-10-21,Women,Cotton,Standard,535,272
C00219,Harini Shankar,Female,33,Erode,Tamil Nadu,Bronze,2023-01-19,Women,Handloom,Premium,552,1278
C00220,Arun Iyer,Male,45,Salem,Tamil Nadu,Bronze,2023-03-15,Accessories,Linen,Standard,128,1223
C00221,Vijay Reddy,Male,27,Tiruppur,Tamil Nadu,Gold,2023-03-23,Men,Linen,Premium,3959,1215
C00222,Deepika Krishnan,Female,20,Thanjavur,Tamil Nadu,Gold,2023-04-07,Women,Polyester,Standard,5874,1200
C00223,Praveen Selvi,Male,64,Villupuram,Tamil Nadu,Bronze,2025-10-04,Accessories,Polyester,Standard,494,289
