SaleID,InvoiceID,CustomerID,ProductID,SaleDate,Quantity,MRP,DiscountPercent,FinalPrice,Festival,Season,DayOfWeek,SaleMonth,SaleYear,SKU,ProductName,Category,SubCategory,Brand,Color,Size,Fabric,SeasonalDemandTag,ProductGender,Price,CostPrice,SupplierID,ProductStatus,ImageURL,ProfitMargin,FullName,CustomerGender,Age,City,State,Membership,JoinDate,PreferredCategory,PreferredFabric,PreferredPriceRange,LoyaltyPoints,CustomerTenureDays
S000030,INV100012,C01047,P0407,2024-08-06,1,700,10,630.0,Independence Day,Monsoon,Tuesday,8,2024,GUE-IPLJ-0407,Guess IPL Jerseys White L,Accessories,IPL Jerseys,Guess,White,L,Polyester,IPL Season,Unisex,1650,1146,SUP007,Active,images/products/P0407.jpg,30.55,Saravanan Nathan,Male,63,Chennai,Tamil Nadu,Gold,2025-02-08,Men,Handloom,Budget,6995,527
S000031,INV100012,C01047,P0462,2024-08-06,1,700,10,630.0,Independence Day,Monsoon,Tuesday,8,2024,UAT-SCHO-0462,Uathayam School Uniforms Gold XL,Kids,School Uniforms,Uathayam,Gold,XL,Polyester Blend,"School Season, Monsoon",Kids,450,333,SUP012,Active,images/products/P0462.jpg,26.0,Saravanan Nathan,Male,63,Chennai,Tamil Nadu,Gold,2025-02-08,Men,Handloom,Budget,6995,527
S000032,INV100012,C01047,P0492,2024-08-06,3,900,5,2565.0,Independence Day,Monsoon,Tuesday,8,2024,GUE-IPLJ-0492,Guess IPL Jerseys Yellow XXL,Accessories,IPL Jerseys,Guess,Yellow,XXL,Polyester,IPL Season,Unisex,1010,659,SUP017,Active,images/products/P0492.jpg,34.75,Saravanan Nathan,Male,63,Chennai,Tamil Nadu,Gold,2025-02-08,Men,Handloom,Budget,6995,527
S000033,INV100012,C01047,P0408,2024-08-06,3,3500,10,9450.0,Independence Day,Monsoon,Tuesday,8,2024,BIB-KURT-0408,Biba Kurtas CSK Yellow XXL,Women,Kurtas,Biba,CSK Yellow,XXL,Silk,"Diwali, Temple Festival",Women,1310,788,SUP008,Active,images/products/P0408.jpg,39.85,Saravanan Nathan,Male,63,Chennai,Tamil Nadu,Gold,2025-02-08,Men,Handloom,Budget,6995,527
S000034,INV100013,C00687,P0420,2025-09-26,3,900,0,2700.0,Regular,Monsoon,Friday,9,2025,PRI-RAIN-0420,Prisma Raincoats Black S,Accessories,Raincoats,Prisma,Black,S,Polyester,Monsoon,Unisex,820,618,SUP020,Active,images/products/P0420.jpg,24.63,Rahul Mohan,Male,21,Madurai,Tamil Nadu,Bronze,2024-09-03,Accessories,Cotton,Standard,193,685
S000035,INV100014,C00461,P0076,2024-11-13,2,700,20,1120.0,Diwali,Winter,Wednesday,11,2024,FAB-BEDS-0076,Fabindia Bedsheets Purple Single,Home & Lifestyle,Bedsheets,Fabindia,Purple,Single,Cotton,Summer,Unisex,1050,630,SUP001,Active,images/products/P0076.jpg,40.0,Dinesh Nathan,Male,19,Thanjavur,Tamil Nadu,Bronze,2025-01-29,Men,Handloom,Standard,520,537
S000036,INV100014,C00461,P0013,2024-11-13,2,400,10,720.0,Diwali,Winter,Wednesday,11,2024,GUE-IPLJ-0013,Guess IPL Jerseys Black S,Accessories,IPL Jerseys,Guess,Black,S,Polyester,IPL Season,Unisex,2000,1379,SUP013,Active,images/products/P0013.jpg,31.05,Dinesh Nathan,Male,19,Thanjavur,Tamil Nadu,Bronze,2025-01-29,Men,Handloom,Standard,520,537
S000037,INV100015,C01815,P0368,2025-02-28,2,900,5,1710.0,Regular,Winter,Friday,2,2025,NET-SOCK-0368,Netplay Socks Red XS,Accessories,Socks,Netplay,Red,XS,Cotton,"School Season, Winter",Unisex,100,58,SUP018,Active,images/products/P0368.jpg,42.0,Karthik Raman,Male,53,Coimbatore,Tamil Nadu,Silver,2025-10-28,Men,Linen,Standard,2219,265
S000038,INV100015,C01815,P0430,2025-02-28,1,1200,5,1140.0,Regular,Winter,Friday,2,2025,GUE-DRES-0430,Guess Dresses Green XXL,Women,Dresses,Guess,Green,XXL,Cotton,"Christmas, New Year",Women,2370,1857,SUP005,Active,images/products/P0430.jpg,21.65,Karthik Raman,Male,53,Coimbatore,Tamil Nadu,Silver,2025-10-28,Men,Linen,Standard,2219,265
S000039,INV100016,C01344,P0458,2024-05-31,2,900,0,1800.0,Summer,Summer,Friday,5,2024,PRI-SCHO-0458,Prisma School Uniforms Purple XL,Kids,School Uniforms,Prisma,Purple,XL,Cotton,"School Season, Monsoon",Kids,700,439,SUP008,Active,images/products/P0458.jpg,37.29,Ajith Nathan,Male,41,Kallakurichi,Tamil Nadu,Bronze,2023-11-21,Home & Lifestyle,Polyester,Premium,419,972
S000040,INV100017,C00361,P0026,2024-08-12,2,700,0,1400.0,Independence Day,Monsoon,Monday,8,2024,PRI-RAIN-0026,Prisma Raincoats Gold XXL,Accessories,Raincoats,Prisma,Gold,XXL,Polyester,Monsoon,Unisex,920,557,SUP001,Active,images/products/P0026.jpg,39.46,Dinesh Selvi,Male,24,Coimbatore,Tamil Nadu,Bronze,2024-03-29,Men,Handloom,Budget,906,843
S000041,INV100017,C00361,P0286,2024-08-12,2,150,0,300.0,Independence Day,Monsoon,Monday,8,2024,FAB-SHRE-0286,Fabindia Shree Blue XL,Women,Shree,Fabindia,Blue,XL,Handloom,"Navratri, Wedding",Women,1700,984,SUP011,Active,images/products/P0286.jpg,42.12,Dinesh Selvi,Male,24,Coimbatore,Tamil Nadu,Bronze,2024-03-29,Men,Handloom,Budget,906,843
S000042,INV100017,C00361,P0128,2024-08-12,3,500,10,1350.0,Independence Day,Monsoon,Monday,8,2024,NET-SOCK-0128,Netplay Socks Red L,Accessories,Socks,Netplay,Red,L,Cotton,"School Season, Winter",Unisex,230,130,SUP003,Active,images/products/P0128.jpg,43.48,Dinesh Selvi,Male,24,Coimbatore,Tamil Nadu,Bronze,2024-03-29,Men,Handloom,Budget,906,843
S000043,INV100017,C00361,P0470,2024-08-12,3,1200,10,3240.0,Independence Day,Monsoon,Monday,8,2024,FAB-KURT-0470,Fabindia Kurtas Cream S,Women,Kurtas,Fabindia,Cream,S,Silk,"Diwali, Temple Festival",Women,1720,1094,SUP020,Active,images/products/P0470.jpg,36.4,Dinesh Selvi,Male,24,Coimbatore,Tamil Nadu,Bronze,2024-03-29,Men,Handloom,Budget,906,843
S000044,INV100018,C01946,P0314,2024-11-20,3,700,40,1260.0,Diwali,Winter,Wednesday,11,2024,UAT-TOWE-0314,Uathayam Towels Black L,Accessories,Towels,Uathayam,Black,L,Cotton,All Season,Unisex,250,192,SUP014,Active,images/products/P0314.jpg,23.2,Gokul Nathan,Male,50,Coimbatore,Tamil Nadu,Gold,2023-05-28,Men,Silk,Standard,5793,1149
S000045,INV100018,C01946,P0418,2024-11-20,3,900,20,2160.0,Diwali,Winter,Wednesday,11,2024,FAB-BEDS-0418,Fabindia Bedsheets Green Single,Home & Lifestyle,Bedsheets,Fabindia,Green,Single,Cotton,Summer,Unisex,720,476,SUP018,Active,images/products/P0418.jpg,33.89,Gokul Nathan,Male,50,Coimbatore,Tamil Nadu,Gold,2023-05-28,Men,Silk,Standard,5793,1149
S000046,INV100018,C01946,P0369,2024-11-20,2,1200,40,1440.0,Diwali,Winter,Wednesday,11,2024,NET-PANT-0369,Netplay Pants White M,Men,Pants,Netplay,White,M,Cotton,All Season,Men,1120,763,SUP019,Active,images/products/P0369.jpg,31.87,Gokul Nathan,Male,50,Coimbatore,Tamil Nadu,Gold,2023-05-28,Men,Silk,Standard,5793,1149
S000047,INV100018,C01946,P0457,2024-11-20,3,3500,30,7350.0,Diwali,Winter,Wednesday,11,2024,NET-SOCK-0457,Netplay Socks Green M,Accessories,Socks,Netplay,Green,M,Cotton,"School Season, Winter",Unisex,220,165,SUP007,Active,images/products/P0457.jpg,25.0,Gokul Nathan,Male,50,Coimbatore,Tamil Nadu,Gold,2023-05-28,Men,Silk,Standard,5793,1149
S000048,INV100019,C01284,P0141,2025-05-11,3,1200,0,3600.0,Summer,Summer,Sunday,5,2025,PRI-GIFT-0141,Prisma Gift Boxes MI Blue XS,Kids,Gift Boxes,Prisma,MI Blue,XS,Cotton,All Season,Kids,1830,1146,SUP016,Active,images/products/P0141.jpg,37.38,Ajith Vel,Male,20,Thanjavur,Tamil Nadu,Bronze,2025-07-11,Men,Silk,Standard,151,374
S000049,INV100019,C01284,P0226,2025-05-11,1,1200,5,1140.0,Summer,Summer,Sunday,5,2025,PRI-GIFT-0226,Prisma Gift Boxes Red L,Kids,Gift Boxes,Prisma,Red,L,Cotton,All Season,Kids,1840,1299,SUP001,Active,images/products/P0226.jpg,29.4,Ajith Vel,Male,20,Thanjavur,Tamil Nadu,Bronze,2025-07-11,Men,Silk,Standard,151,374
S000050,INV100020,C00688,P0458,2024-10-05,1,900,0,900.0,Navratri,Winter,Saturday,10,2024,PRI-SCHO-0458,Prisma School Uniforms Purple XL,Kids,School Uniforms,Prisma,Purple,XL,Cotton,"School Season, Monsoon",Kids,700,439,SUP008,Active,images/products/P0458.jpg,37.29,Ajith Reddy,Male,51,Tirunelveli,Tamil Nadu,Gold,2024-02-29,Men,Cotton,Standard,3705,872
S000051,INV100020,C00688,P0277,2024-10-05,2,3500,0,7000.0,Navratri,Winter,Saturday,10,2024,FAB-CURT-0277,Fabindia Curtains Orange King,Home & Lifestyle,Curtains,Fabindia,Orange,King,Polyester,All Season,Unisex,2980,1960,SUP002,Active,images/products/P0277.jpg,34.23,Ajith Reddy,Male,51,Tirunelveli,Tamil Nadu,Gold,2024-02-29,Men,Cotton,Standard,3705,872
S000052,INV100020,C00688,P0042,2024-10-05,1,700,10,630.0,Navratri,Winter,Saturday,10,2024,FAB-BEDC-0042,Fabindia Bed Covers Yellow Double,Home & Lifestyle,Bed Covers,Fabindia,Yellow,Double,Cotton,Summer,Unisex,2340,1516,SUP017,Active,images/products/P0042.jpg,35.21,Ajith Reddy,Male,51,Tirunelveli,Tamil Nadu,Gold,2024-02-29,Men,Cotton,Standard,3705,872
S000053,INV100021,C00439,P0213,2025-12-24,2,1200,5,2280.0,Wedding Season,Winter,Wednesday,12,2025,FAB-PILL-0213,Fabindia Pillow Covers CSK Yellow Single,Home & Lifestyle,Pillow Covers,Fabindia,CSK Yellow,Single,Cotton,All Season,Unisex,210,154,SUP013,Active,images/products/P0213.jpg,26.67,Priya Iyer,Female,34,Salem,Tamil Nadu,Gold,2023-08-05,Women,Cotton,Standard,3347,1080
S000054,INV100022,C00955,P0032,2025-07-09,3,700,10,1890.0,Aadi Sale,Monsoon,Wednesday,7,2025,KAN-SARE-0032,Kanchipuram Handloom Sarees Maroon 4m,Women,Sarees,Kanchipuram Handloom,Maroon,4m,Handloom,"Wedding, Diwali, Navratri",Women,7950,6329,SUP007,Active,images/products/P0032.jpg,20.39,Praveen Selvi,Male,64,Kanchipuram,Tamil Nadu,Silver,2025-04-09,Men,Silk,Budget,1405,467
S000055,INV100022,C00955,P0106,2025-07-09,1,3500,40,2100.0,Aadi Sale,Monsoon,Wednesday,7,2025,PRI-RAIN-0106,Prisma Raincoats RCB Red L,Accessories,Raincoats,Prisma,RCB Red,L,Polyester,Monsoon,Unisex,1320,892,SUP006,Active,images/products/P0106.jpg,32.42,Praveen Selvi,Male,64,Kanchipuram,Tamil Nadu,Silver,2025-04-09,Men,Silk,Budget,1405,467
S000056,INV100022,C00955,P0427,2025-07-09,2,3500,30,4900.0,Aadi Sale,Monsoon,Wednesday,7,2025,RAM-LUNG-0427,Ramraj Cotton Lungi Gold Standard,Men,Lungi,Ramraj Cotton,Gold,Standard,Cotton,"Summer, Aadi Sale",Men,980,590,SUP002,Active,images/products/P0427.jpg,39.8,Praveen Selvi,Male,64,Kanchipuram,Tamil Nadu,Silver,2025-04-09,Men,Silk,Budget,1405,467
S000057,INV100022,C00955,P0216,2025-07-09,2,3500,20,5600.0,Aadi Sale,Monsoon,Wednesday,7,2025,WES-DRES-0216,Westside Dresses Red XXL,Women,Dresses,Westside,Red,XXL,Cotton,"Christmas, New Year",Women,2750,1848,SUP016,Active,images/products/P0216.jpg,32.8,Praveen Selvi,Male,64,Kanchipuram,Tamil Nadu,Silver,2025-04-09,Men,Silk,Budget,1405,467
S000058,INV100023,C00559,P0249,2024-08-12,3,500,10,1350.0,Independence Day,Monsoon,Monday,8,2024,UAT-SCHO-0249,Uathayam School Uniforms Orange XS,Kids,School Uniforms,Uathayam,Orange,XS,Cotton,"School Season, Monsoon",Kids,490,293,SUP024,Active,images/products/P0249.jpg,40.2,Naveen Devi,Male,22,Karur,Tamil Nadu,Bronze,2023-07-05,Men,Handloom,Budget,660,1111
S000059,INV100023,C00559,P0015,2024-08-12,3,900,5,2565.0,Independence Day,Monsoon,Monday,8,2024,PRI-GIFT-0015,Prisma Gift Boxes Gold L,Kids,Gift Boxes,Prisma,Gold,L,Cotton,All Season,Kids,2410,1454,SUP015,Active,images/products/P0015.jpg,39.67,Naveen Devi,Male,22,Karur,Tamil Nadu,Bronze,2023-07-05,Men,Handloom,Budget,660,1111
S000060,INV100023,C00559,P0200,2024-08-12,2,700,0,1400.0,Independence Day,Monsoon,Monday,8,2024,RAM-VESH-0200,Ramraj Cotton Veshti CSK Yellow Standard,Men,Veshti,Ramraj Cotton,CSK Yellow,Standard,Cotton,"Pongal, Temple Festival, Summer",Men,1050,649,SUP025,Active,images/products/P0200.jpg,38.19,Naveen Devi,Male,22,Karur,Tamil Nadu,Bronze,2023-07-05,Men,Handloom,Budget,660,1111
S000061,INV100023,C00559,P0173,2024-08-12,3,1200,0,3600.0,Independence Day,Monsoon,Monday,8,2024,FAB-PILL-0173,Fabindia Pillow Covers Maroon Double,Home & Lifestyle,Pillow Covers,Fabindia,Maroon,Double,Cotton,All Season,Unisex,390,295,SUP023,Active,images/products/P0173.jpg,24.36,Naveen Devi,Male,22,Karur,Tamil Nadu,Bronze,2023-07-05,Men,Handloom,Budget,660,1111
S000062,INV100024,C00056,P0304,2025-06-30,1,500,40,300.0,School Season,Monsoon,Monday,6,2025,WES-BABY-0304,Westside Baby Dresses Red 6-12 Years,Kids,Baby Dresses,Westside,Red,6-12 Years,Cotton,All Season,Kids,970,593,SUP004,Active,images/products/P0304.jpg,38.87,Rahul Kumar,Male,56,Kanchipuram,Tamil Nadu,Gold,2025-11-09,Men,Cotton,Premium,6979,253
S000063,INV100024,C00056,P0289,2025-06-30,1,150,20,120.0,School Season,Monsoon,Monday,6,2025,GUE-DRES-0289,Guess Dresses Pink XS,Women,Dresses,Guess,Pink,XS,Polyester Blend,"Christmas, New Year",Women,1740,1012,SUP014,Active,images/products/P0289.jpg,41.84,Rahul Kumar,Male,56,Kanchipuram,Tamil Nadu,Gold,2025-11-09,Men,Cotton,Premium,6979,253
S000064,INV100024,C00056,P0340,2025-06-30,2,700,40,840.0,School Season,Monsoon,Monday,6,2025,PRI-RAIN-0340,Prisma Raincoats CSK Yellow M,Accessories,Raincoats,Prisma,CSK Yellow,M,Polyester,Monsoon,Unisex,1130,815,SUP015,Active,images/products/P0340.jpg,27.88,Rahul Kumar,Male,56,Kanchipuram,Tamil Nadu,Gold,2025-11-09,Men,Cotton,Premium,6979,253
